iter	Passed	Remaining
882	1174	155
883	1175	154
884	1176	152
885	1177	151
886	1178	150
887	1179	148
888	1180	147
889	1181	145
890	1181	144
891	1182	143
892	1183	141
893	1185	140
894	1185	139
895	1186	137
896	1187	136
897	1188	134
898	1189	133
899	1190	132
900	1191	130
901	1192	129
902	1193	128
903	1194	126
904	1195	125
905	1195	124
906	1196	122
907	1197	121
908	1198	119
909	1199	118
910	1200	117
911	1201	115
912	1201	114
913	1202	113
914	1203	111
915	1204	110
916	1205	109
917	1206	107
918	1207	106
919	1208	105
920	1209	103
921	1210	102
922	1211	101
923	1212	99
924	1212	98
925	1213	97
926	1215	95
927	1216	94
928	1217	93
929	1218	91
930	1219	90
931	1220	89
932	1221	87
933	1222	86
934	1223	85
935	1224	83
936	1224	82
937	1225	81
938	1226	79
939	1227	78
940	1228	76
941	1229	75
942	1230	74
943	1231	73
944	1231	71
945	1232	70
946	1233	69
947	1234	67
948	1235	66
949	1236	65
950	1237	63
951	1238	62
952	1239	61
953	1240	59
954	1241	58
955	1241	57
956	1242	55
957	1243	54
958	1244	53
959	1245	51
960	1246	50
961	1247	49
962	1248	47
963	1249	46
964	1249	45
965	1250	44
966	1251	42
967	1252	41
968	1253	40
969	1254	38
970	1255	37
971	1256	36
972	1256	34
973	1257	33
974	1258	32
975	1259	30
976	1260	29
977	1261	28
978	1262	27
979	1263	25
980	1263	24
981	1264	23
982	1265	21
983	1266	20
984	1267	19
985	1268	18
986	1269	16
987	1270	15
988	1270	14
989	1271	12
990	1272	11
991	1273	10
992	1274	8
993	1275	7
994	1276	6
995	1277	5
996	1278	3
997	1279	2
998	1280	1
999	1281	0
